via,zona,numeri,citta
ABBA GIUSEPPE CESARE ,20 - A,TUTTI,PISA
ABBAZIA SAN SAVINO ,10 - B,TUTTI,CASCINA
ABETELLE ,26 - A,TUTTI,PISA
ABETONE ,24 - B,DAL 1 AL 7/A,SAN GIULIANO TERME
ABETONE ,37 - B,DAL 166 AL 472/A DAL 147 AL 377,SAN GIULIANO TERME
ABETONE ,38 - A,8,SAN GIULIANO TERME
ABETONE ,38 - B,DAL 21 AL 167 DAL 2 AL 162 ,SAN GIULIANO TERME
ABETONE ,39 - B,DAL 9 AL 23/C,SAN GIULIANO TERME
ACACIE ,26 - A,TUTTI,PISA
ACCOGLIENZA ,41 - A,SNC,CALCI
ACCOLTI ,15 - A,TUTTI,SAN GIULIANO TERME
ACQUEDOTTI ,35 - A,TUTTI,VECCHIANO
ACQUEDOTTO ,38 - B,1,SAN GIULIANO TERME
ADEMOLLO LUIGI ,38 - B,TUTTI,SAN GIULIANO TERME
ADIGE ,22 - B,TUTTI,PISA
ADRIANI GIOVAN BATTISTA ,38 - B,TUTTI,SAN GIULIANO TERME
AEROPORTO ,1 - B,TUTTI,PISA
AEROPORTO ,44,47,PISA
AGAVI ,25 - B,TUTTI,PISA
AGNELLI GUGLIELMO ,4 - B,TUTTI,PISA
AGONIGI ,20 - A,TUTTI,PISA
AGOSTINI DELLA SETA FERDINANDO ,6 - B,TUTTI,PISA
AGRIFOGLIO ,25 - B,TUTTI,PISA
AIAZZI DANILO MONSIGNOR ,25 - B,TUTTI,PISA
AIRONE ,32 - A,TUTTI,VECCHIANO
ALAMANNI ,15 - A,TUTTI,SAN GIULIANO TERME
ALBERACCIO ,40 - A,TUTTI,SAN GIULIANO TERME
ALBERELLO ,8 - B,TUTTI,PISA
ALBERI ,26 - A,DAL 1 AL 9 DAL 2 AL 14/A,PISA
ALBERI ,26 - B,DAL 15 AL 33 DAL 16/A AL 30,PISA
ALBERTI LEON BATTISTA ,30 - A,TUTTI,PISA
ALBERTI LEON BATTISTA ,39 - B,TUTTI,SAN GIULIANO TERME
ALBIANI ,2 - B,TUTTI,PISA
ALBINONI ,22 - A,TUTTI,SAN GIULIANO TERME
ALDO MORO ,29 - A,TUTTI,PISA
ALDO MORO ,32 - A,TUTTI,VECCHIANO
ALDO MORO ,36 - A,TUTTI,SAN GIULIANO TERME
ALDOVRANDI ,36 - A,TUTTI,SAN GIULIANO TERME
ALDROVANDI ULISSE ,8 - B,TUTTI,PISA
ALEARDI ALEARDO ,38 - B,TUTTI,SAN GIULIANO TERME
ALFIERI VITTORIO ,15 - B,TUTTI,PISA
ALFIERI VITTORIO ,17 - B,DAL 5 AL 29/A,SAN GIULIANO TERME
ALFIERI VITTORIO ,43 - A,DAL 39 AL 71/A DAL 2 AL 16,SAN GIULIANO TERME
ALIGHIERI DANTE ,12 - B,TUTTI,CASCINA
ALIGHIERI DANTE ,17 - B,TUTTI,SAN GIULIANO TERME
ALIGHIERI DANTE ,23 - B,TUTTI,PISA
ALIGHIERI DANTE ,33 - B,TUTTI,VECCHIANO
ALLENDE SALVADOR ,35 - A,TUTTI,VECCHIANO
ALLORI ,26 - A,TUTTI,PISA
ALLORI ,43 - B,TUTTI,SAN GIULIANO TERME
ALPI ILARIA ,36 - A,TUTTI,SAN GIULIANO TERME
ALPI ILARIA ,9 - B,TUTTI,CASCINA
ALZAVOLA ,32 - A,SNC,VECCHIANO
AMALFI ,21 - A,TUTTI,PISA
AMBROSOLI GIORGIO ,33 - A,TUTTI,VECCHIANO
AMEDEO ,33 - A,TUTTI,VECCHIANO
AMEDEO ,50,83,VECCHIANO
AMEDEO DUCA D'AOSTA ,24 - B,TUTTI,PISA
AMENDOLA GIOVANNI ,11 - B,TUTTI,CASCINA
AMENDOLA GIOVANNI ,14 - A,TUTTI,PISA
AMENDOLA GIOVANNI ,31 - A,TUTTI,SAN GIULIANO TERME
AMENDOLA GIOVANNI ,32 - A,TUTTI,VECCHIANO
ANDO' FLAVIO ,27 - A,TUTTI,PISA
ANGELI PIETRO DA BARGA ,24 - A,TUTTI,PISA
ANGIOLIERI CECCO ,43 - A,TUTTI,SAN GIULIANO TERME
ANNUNZIATA ,3 - B,TUTTI,PISA
ARANCIO ,23 - B,TUTTI,PISA
ARCANGELI GIOVANNI ,14 - B,TUTTI,PISA
ARCIVESCOVADO ,23 - B,TUTTI,PISA
ARCIVESCOVADO ,44,18,PISA
ARDENNE ,7 - A,TUTTI,PISA
ARETINO PIETRO ,36 - B,TUTTI,SAN GIULIANO TERME
ARGINE ,30 - A,TUTTI,PISA
ARGINE ,33 - B,TUTTI,VECCHIANO
ARGINE ,42 - A,TUTTI,CALCI
ARGINE ,43 - A,TUTTI,SAN GIULIANO TERME
ARGINE VECCHIO ,34 - A,DAL 1 AL 243/A DAL 20 AL 202,VECCHIANO
ARGINE VECCHIO ,34 - B,DAL 245 AL 369 DAL 206 AL 232,VECCHIANO
ARGINE VECCHIO ,35 - A,DAL 2 AL 88,VECCHIANO
ARGINONE ,5 - B,TUTTI,PISA
ARGONNE ,7 - A,TUTTI,PISA
ARIETI SILVANO ,24 - B,TUTTI,PISA
ARIOSTO ,42 - A,TUTTI,CALCI
ARIOSTO LUDOVICO ,15 - A,TUTTI,SAN GIULIANO TERME
ARIOSTO LUDOVICO ,15 - B,TUTTI,PISA
ARNACCIO ,25 - A,TUTTI,PISA
ARNACCIO CALCI ,41 - A,TUTTI,CALCI
ARNINO ,27 - A,TUTTI,PISA
ARNO ,22 - B,TUTTI,PISA
ARNO ,41 - A,TUTTI,CALCI
ARQUATA ,9 - A,DAL 34 AL 172 DAL 37 AL 51,CASCINA
ARQUATA ,9 - B,"DAL 2 AL 26, 50,52 DAL 3 AL 15",CASCINA
ARROSTI IACOPO ,29 - A,TUTTI,PISA
ARTIGIANI ,17 - A,TUTTI,PISA
ARTIGIANI ,17 - A,TUTTI,PISA
ASCOLI ,17 - B,TUTTI,SAN GIULIANO TERME
ASMARA ,1 - B,TUTTI,PISA
ASPROMONTE ,8 - B,TUTTI,PISA
ASSOPARDI UGOLINO ,21 - B,TUTTI,PISA
ATLETI AZZURRI PISANI ,21 - B,TUTTI,PISA
AURELIA ,31 - A,DAL 21 AL 37/B DAL 2 AL 144,SAN GIULIANO TERME
AURELIA ,31 - B,DAL 39 AL 249 DAL 146 AL 310,SAN GIULIANO TERME
AURELIA ,32 - B,DAL 278 AL 302/B,SAN GIULIANO TERME
AURELIA ,32 - B,TUTTI,VECCHIANO
AURELIA ,50,83,SAN GIULIANO TERME
AURELIA NORD ,21 - B,DAL 1/A AL 15,PISA
AURELIA NORD ,21 - B,DAL 2 AL 36,PISA
AURELIA SUD ,25 - A,TUTTI,PISA
AVANZI ENRICO ,14 - B,TUTTI,PISA
AVERANI GIUSEPPE ,18 - A,TUTTI,PISA
AVOGADRO ,43 - B,TUTTI,SAN GIULIANO TERME
AZALEE ,39 - A,TUTTI,SAN GIULIANO TERME
BACCIO ,38 - A,TUTTI,SAN GIULIANO TERME
BACONE FRANCESCO ,38 - B,TUTTI,SAN GIULIANO TERME
BADALONI NICOLA ,21 - B,TUTTI,PISA
BADIE ,42 - B,TUTTI,CALCI
BAGLINI PIERO ,11 - A,TUTTI,CASCINA
BAGNILE ,47,SNC,PISA
BALBO CESARE ,31 - B,TUTTI,SAN GIULIANO TERME
BALBO CESARE ,6 - A,TUTTI,PISA
BALDACCI VALENTINO ,4 - B,TUTTI,PISA
BALDAN DON GASTONE ,30 - A,TUTTI,PISA
BALDINI NULLO ,19 - B,TUTTI,PISA
BALDUCCI ERNESTO ,32 - A,TUTTI,VECCHIANO
BALDUINETTI ,3 - A,TUTTI,PISA
BALEARI ,27 - B,TUTTI,PISA
BALIPEDIO ,32 - B,SNC,VECCHIANO
BANCHI ,3 - B,TUTTI,PISA
BANDECCA ,35 - B,TUTTI,VECCHIANO
BANDETTINI TERESA ,15 - A,TUTTI,SAN GIULIANO TERME
BANDI GIUSEPPE ,6 - A,TUTTI,PISA
BANTI CRISTIANO ,37 - B,TUTTI,SAN GIULIANO TERME
BARACCA ,35 - A,TUTTI,VECCHIANO
BARACCA FRANCESCO ,24 - B,TUTTI,PISA
BARACHINI PAOLO ,22 - A,TUTTI,PISA
BARACHINI PAOLO ,40 - B,TUTTI,SAN GIULIANO TERME
BARAGAGLIA ,42 - B,TUTTI,CALCI
BARATTURALIA ,8 - A,TUTTI,PISA
BARBACANI ,40 - A,TUTTI,SAN GIULIANO TERME
BARBOLANI FRANCESCO ,28 - B,TUTTI,PISA
BARBUTI OTTORINO ,38 - B,TUTTI,SAN GIULIANO TERME
BARGAGNA ITALO ,49,16,PISA
BARGAGNA ITALO ,49,34,PISA
BARRA ,34 - B,TUTTI,VECCHIANO
BARSANTI PADRE EUGENIO ,5 - B,TUTTI,PISA
BARSOTTI CARLO ,40 - A,TUTTI,SAN GIULIANO TERME
BARSOTTI DON GUSTAVO ,12 - A,TUTTI,CASCINA
BARSUGLIA GIOVAN BATTISTA ,35 - B,TUTTI,VECCHIANO
BARTALACCI ,9 - A,TUTTI,CASCINA
BARTALINI ,43 - B,TUTTI,SAN GIULIANO TERME
BASILICATA ,13 - B,TUTTI,PISA
BASSI AGOSTINO ,5 - B,TUTTI,PISA
BASTIONE ,17 - A,TUTTI,PISA
BATTELLI ANGELO ,18 - A,TUTTI,PISA
BATTICHIODI ,16 - B,TUTTI,PISA
BATTISTI CESARE ,3 - A,TUTTI,PISA
BATTISTI CESARE ,34 - A,TUTTI,VECCHIANO
BATTISTI CESARE ,49,51; 53,PISA
BEATO AGNELLO ,1 - A,TUTTI,PISA
BEATO ALBERTO ,1 - A,TUTTI,PISA
BECCACCINO ,32 - A,TUTTI,VECCHIANO
